"Name","Characters","BlingSkins","BlingIconExportName","SkinGachaPrice","GachaPrice","FallbackForDonation","PurchasePrice","BuddyCards","BuddySkin","CardIconExportName","InfoPopupSfx","BuyScreenOffset","BuyScreenScale","BuyScreenRotation","ShopPanelOffset","ShopPanelScale","ShopPanelRotation","HeroInfoScreenRotation","HeroInfoScreenOffset","HeroInfoScreenScale","UnlockingFlowOffset","UnlockingFlowScale","UnlockingFlowRotation","ShopScreen","ClawScreen","ClawMachinePanelExportName","BlingClawScreen","BlingMachinePanelExportName","ClawJoystickExportName","ClawButtonExportName","BlingClawJoystickExportName","BlingClawButtonExportName","Disabled"
"string","string","string","string","string","string","string","string","string","string","string","string","string","int","int","string","int","int","int","string","int","string","int","int","string","string","string","string","string","string","string","string","string","boolean"
,,,,,,,"GEMS#179","Mummy_Buddy_Starpowers","MummyGirlBuddySP","buddy_icon_emz_star_power","Claw_Gacha_Show_Star_Buffie","0;-160;0",500,20,"0;-255;0",530,0,-10,"0;-235;0",530,"0;-160;0",500,0,,,,,,,,,,
,,,,,,,"GEMS#199","Mummy_Buddy_Overcharge","MummyGirlBuddyHC","buddy_icon_emz_hypercharge","Claw_Gacha_Show_Hyper_Buffie","0;-160;0",500,20,"0;-255;0",530,0,-10,"0;-235;0",530,"0;-160;0",500,0,,,,,,,,,,
,,,,,,,"GEMS#149","HammerDude_Buddy_Gadgets","HammerDudeBuddyGadget","buddy_icon_frank_gadget","Claw_Gacha_Show_Gadget_Buffie","0;-160;0",500,20,"0;-220;0",543,0,-10,"0;-200;0",543,"0;-160;0",500,0,,,,,,,,,,
,,,,,,,"GEMS#179","HammerDude_Buddy_Starpowers","HammerDudeBuddySP","buddy_icon_frank_star_power","Claw_Gacha_Show_Star_Buffie","0;-160;0",500,20,"0;-220;0",543,0,-10,"0;-200;0",543,"0;-160;0",500,0,,,,,,,,,,
,,,,,,,"GEMS#199","HammerDude_Buddy_Overcharge","HammerDudeBuddyHC","buddy_icon_frank_hypercharge","Claw_Gacha_Show_Hyper_Buffie","0;-160;0",500,20,"0;-220;0",543,0,-10,"0;-200;0",543,"0;-160;0",500,0,,,,,,,,,,
,,,,,,,"GEMS#149","Undertaker_Buddy_Gadgets","UndertakerBuddyGadget","buddy_icon_mortis_gadget","Claw_Gacha_Show_Gadget_Buffie","0;-300;0",650,35,"0;-193;0",610,0,-10,"0;-180;0",610,"0;-160;0",650,0,,,,,,,,,,
,,,,,,,"GEMS#179","Undertaker_Buddy_Starpowers","UndertakerBuddySP","buddy_icon_mortis_star_power","Claw_Gacha_Show_Star_Buffie","0;-300;0",650,35,"0;-193;0",610,0,-10,"0;-180;0",610,"0;-160;0",650,0,,,,,,,,,,
,,,,,,,"GEMS#199","Undertaker_Buddy_Overcharge","UndertakerBuddyHC","buddy_icon_mortis_hypercharge","Claw_Gacha_Show_Hyper_Buffie","0;-300;0",650,35,"0;-193;0",610,0,-10,"0;-180;0",610,"0;-160;0",650,0,,,,,,,,,,
"SecondClawMachine","Shaman","ShamanBuddyBlingChroma","buddy_icon_nita_skin_bling","BLING#10000","POWER_POINTS#2000","POWER_POINTS#1000","GEMS#149","Shaman_Buddy_Gadgets","ShamanBuddyGadget","buddy_icon_nita_gadget","Claw_Gacha_Show_Gadget_Buffie","-100;-150;-150",650,20,"0;-150;0",650,0,-10,"0;-138;0",650,"0;-100;0",650,0,"buddy_shop_screen_","claw_machine_screen_","buddy_shop_claw_machine_retrojungle","claw_machine_retrojungle_bling_screen","buddy_shop_claw_machine_retrojungle","claw_machine_retrojungle_screen_hud_bottom_left","claw_machine_retrojungle_screen_hud_bottom_right","claw_machine_retrojungle_bling_screen_hud_bottom_left","claw_machine_retrojungle_bling_screen_hud_bottom_right",
,"Crow","CrowBuddyBlingChroma","buddy_icon_crow_skin_bling",,"COINS#1000",,"GEMS#179","Shaman_Buddy_Starpowers","ShamanBuddySP","buddy_icon_nita_star_power","Claw_Gacha_Show_Star_Buffie","-100;-150;-150",650,20,"0;-150;0",650,0,-10,"0;-138;0",650,"0;-100;0",650,0,,,,,,,,,,
,"BullDude","BullBuddyBlingChroma","buddy_icon_bull_skin_bling",,,,"GEMS#199","Shaman_Buddy_Overcharge","ShamanBuddyHC","buddy_icon_nita_hypercharge","Claw_Gacha_Show_Hyper_Buffie","-100;-150;-150",650,20,"0;-150;0",650,0,-10,"0;-138;0",650,"0;-100;0",650,0,,,,,,,,,,
,"BowDude","BowDudeBuddyBlingChroma","buddy_icon_bo_skin_bling",,,,"GEMS#149","Crow_Buddy_Gadgets","CrowBuddyGadget","buddy_icon_crow_gadget","Claw_Gacha_Show_Gadget_Buffie","-100;-150;-150",650,20,"0;-155;0",600,0,-10,"0;-190;0",650,"0;-100;0",650,0,,,,,,,,,,
,"Baseball","BaseballBuddyBlingChroma","buddy_icon_bibi_skin_bling",,,,"GEMS#179","Crow_Buddy_Starpowers","CrowBuddySP","buddy_icon_crow_star_power","Claw_Gacha_Show_Star_Buffie","-100;-150;-150",650,20,"0;-155;0",600,0,-10,"0;-196;0",650,"0;-100;0",650,0,,,,,,,,,,
,"Ninja","NinjaBuddyBlingChroma","buddy_icon_leon_skin_bling",,,,"GEMS#199","Crow_Buddy_Overcharge","CrowBuddyHC","buddy_icon_crow_hypercharge","Claw_Gacha_Show_Hyper_Buffie","-100;-150;-150",650,20,"0;-155;0",600,0,-10,"0;-190;0",650,"0;-100;0",650,0,,,,,,,,,,
,,,,,,,"GEMS#149","BullDude_Buddy_Gadgets","BullBuddyGadget","buddy_icon_bull_gadget","Claw_Gacha_Show_Gadget_Buffie","-100;-150;-150",650,20,"0;-150;0",550,0,-30,"0;-190;0",650,"0;-70;0",650,0,,,,,,,,,,
,,,,,,,"GEMS#179","BullDude_Buddy_Starpowers","BullBuddySP","buddy_icon_bull_star_power","Claw_Gacha_Show_Star_Buffie","-100;-150;-150",650,20,"0;-150;0",550,0,-30,"0;-188;0",650,"0;-70;0",650,0,,,,,,,,,,
,,,,,,,"GEMS#199","BullDude_Buddy_Overcharge","BullBuddyHC","buddy_icon_bull_hypercharge","Claw_Gacha_Show_Hyper_Buffie","-100;-150;-150",650,20,"0;-150;0",550,0,-30,"0;-200;0",650,"0;-70;0",650,0,,,,,,,,,,
,,,,,,,"GEMS#149","Bowdude_Buddy_Gadgets","BowDudeBuddyGadget","buddy_icon_bo_gadget","Claw_Gacha_Show_Gadget_Buffie","0;-160;0",650,20,"0;-160;0",650,0,-10,"0;-160;0",650,"0;-110;0",650,0,,,,,,,,,,
,,,,,,,"GEMS#179","Bowdude_Buddy_Starpowers","BowDudeBuddySP","buddy_icon_bo_star_power","Claw_Gacha_Show_Star_Buffie","0;-160;0",650,20,"0;-160;0",650,0,-10,"0;-150;0",650,"0;-110;0",650,0,,,,,,,,,,
,,,,,,,"GEMS#199","BowDude_Buddy_Overcharge","BowDudeBuddyHC","buddy_icon_bo_hypercharge","Claw_Gacha_Show_Hyper_Buffie","0;-160;0",650,20,"0;-160;0",650,0,-10,"0;-160;0",650,"0;-110;0",650,0,,,,,,,,,,
,,,,,,,"GEMS#149","Baseball_Buddy_Gadgets","BaseballBuddyGadget","buddy_icon_bibi_gadget","Claw_Gacha_Show_Gadget_Buffie","-200;-150;-150",650,20,"0;-160;0",650,0,-10,"0;-140;0",650,"0;-100;0",650,0,,,,,,,,,,
,,,,,,,"GEMS#179","Baseball_Buddy_Starpowers","BaseballBuddySP","buddy_icon_bibi_star_power","Claw_Gacha_Show_Star_Buffie","-200;-150;-150",650,20,"0;-160;0",650,0,-10,"0;-140;0",650,"0;-100;0",650,0,,,,,,,,,,
,,,,,,,"GEMS#199","Baseball_Buddy_Overcharge","BaseballBuddyHC","buddy_icon_bibi_hypercharge","Claw_Gacha_Show_Hyper_Buffie","-200;-150;-150",650,20,"0;-160;0",650,0,-10,"0;-130;0",650,"0;-100;0",650,0,,,,,,,,,,
,,,,,,,"GEMS#149","Ninja_Buddy_Gadgets","NinjaBuddyGadget","buddy_icon_leon_gadget","Claw_Gacha_Show_Gadget_Buffie","-100;-150;-150",650,20,"0;-115;0",680,0,-10,"0;-112;0",650,"0;-115;0",650,0,,,,,,,,,,
,,,,,,,"GEMS#179","Ninja_Buddy_Starpowers","NinjaBuddySP","buddy_icon_leon_star_power","Claw_Gacha_Show_Star_Buffie","-100;-150;-150",650,20,"0;-115;0",680,0,-10,"0;-105;0",650,"0;-115;0",650,0,,,,,,,,,,
,,,,,,,"GEMS#199","Ninja_Buddy_Overcharge","NinjaBuddyHC","buddy_icon_leon_hypercharge","Claw_Gacha_Show_Hyper_Buffie","-100;-150;-150",650,20,"0;-115;0",680,0,-10,"0;-112;0",650,"0;-115;0",650,0,,,,,,,,,,
